ID,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,Class11,Class12,Class13,Class14,Class15,Class16,Class17,Class18,Class19,Class20,Class21,Class22,Class23,Class24,Class25,Class26,Class27,Class28,Class29,Class30,Class31,Class32,Class33,Class34,Class35,Class36,Class37,Class38,Class39,Class40,Class41,Class42,Class43,Class44,Class45,Class46,Class47,Class48,Class49,Class50
1,0.0241908,0.0169847,0.0195312,0.0054332,0.0008303,0.0070381,0.0077405,0.0213305,0.0158865,0.0166989,0.0099680,0.0186349,0.0047808,0.0136214,0.0134125,0.0147283,0.0055511,0.0059031,0.0128221,0.0116051,0.0015266,0.0190612,0.1224414,0.0145591,0.0040625,0.0081429,0.0058700,0.2106985,0.0233676,0.0038665,0.0142668,0.0105635,0.0157097,0.0095879,0.0226027,0.0185709,0.0130720,0.0078977,0.0081671,0.0113036,0.0141657,0.0376828,0.0224749,0.0224967,0.0119299,0.0087950,0.0187832,0.0569379,0.0111996,0.0035041
2,0.0035727,0.0056742,0.0016835,0.0088740,0.0114984,0.7969718,0.0028690,0.0036428,0.0026365,0.0070912,0.0010606,0.0004060,0.0003957,0.0048267,0.0002864,0.0018156,0.0003144,0.0045115,0.0006281,0.0008731,0.0017226,0.0018298,0.0008645,0.0010957,0.0065888,0.0008008,0.0005691,0.0035566,0.0009759,0.0039363,0.0001137,0.0011726,0.0003757,0.0011052,0.0010021,0.0019795,0.0059344,0.0010553,0.0013088,0.0106762,0.0123837,0.0024219,0.0005543,0.0013290,0.0030311,0.0008911,0.0027364,0.0690695,0.0007304,0.0005567
3,0.0016670,0.0040568,0.0019900,0.0010203,0.0006658,0.0009933,0.0022759,0.0005458,0.0009601,0.0007424,0.0014616,0.0004348,0.9159190,0.0017228,0.0012928,0.0061658,0.0087594,0.0027495,0.0006586,0.0003979,0.0060329,0.0011229,0.0009539,0.0022283,0.0011780,0.0035689,0.0018901,0.0009865,0.0003932,0.0002101,0.0031144,0.0036272,0.0002242,0.0012082,0.0005881,0.0009326,0.0011015,0.0003541,0.0007293,0.0005169,0.0006479,0.0021533,0.0005106,0.0026807,0.0003649,0.0006664,0.0008047,0.0032998,0.0025919,0.0008388
4,0.1255293,0.1127607,0.0075730,0.0045518,0.0003735,0.0079242,0.0039106,0.0052824,0.0163825,0.0056904,0.0257568,0.0040787,0.0171077,0.0055432,0.0083385,0.0883053,0.0063100,0.0060272,0.0038712,0.0073601,0.0076023,0.0051273,0.0159928,0.0355482,0.0276339,0.0144643,0.0267309,0.0178865,0.0178510,0.0185278,0.0181612,0.0014236,0.0142797,0.0157868,0.0038885,0.0382259,0.0098102,0.0307831,0.0048911,0.0044673,0.0084138,0.0169433,0.0066773,0.0123370,0.0120533,0.0079763,0.0174694,0.1042981,0.0034040,0.0186681
5,0.0024114,0.0034026,0.0045854,0.0125506,0.0033239,0.0025220,0.0012464,0.0044722,0.0016681,0.0038086,0.0019758,0.0117326,0.0034468,0.0042364,0.0074914,0.0164207,0.0030706,0.0083577,0.0043154,0.0033392,0.0049329,0.0039671,0.0029012,0.0024273,0.0044466,0.0025956,0.0043022,0.0005515,0.0022441,0.0082435,0.0076756,0.0069285,0.6560401,0.0108431,0.0020344,0.0030979,0.0034897,0.0354507,0.0053510,0.0004074,0.0438984,0.0042232,0.0025400,0.0074446,0.0154952,0.0057930,0.0062684,0.0276862,0.0107447,0.0035981
6,0.0000159,0.0000314,0.0000691,0.0001502,0.0000312,0.0000279,0.0000610,0.0000180,0.0000311,0.0000125,0.0000249,0.0000839,0.0000093,0.0000320,0.0000144,0.0000279,0.0000212,0.0000524,0.0001500,0.0000239,0.0000142,0.0000212,0.9978402,0.0000304,0.0000143,0.0000607,0.0000458,0.0000176,0.0000376,0.0000344,0.0000213,0.0001194,0.0000133,0.0000466,0.0000307,0.0000225,0.0000554,0.0000404,0.0000379,0.0000180,0.0000374,0.0000314,0.0000191,0.0000239,0.0000266,0.0000386,0.0000293,0.0000203,0.0003440,0.0000187
7,0.0086576,0.0008237,0.0008131,0.0003534,0.0006110,0.0005532,0.0016090,0.0044443,0.0006597,0.0009552,0.0018808,0.0024112,0.0030094,0.0008615,0.0008939,0.0025306,0.0029743,0.0034026,0.0008092,0.0005099,0.0010869,0.0008581,0.0008809,0.0006881,0.0007595,0.0160310,0.0013194,0.0007468,0.9053104,0.0020028,0.0055605,0.0010108,0.0003855,0.0009187,0.0008747,0.0007918,0.0010896,0.0019179,0.0017396,0.0010845,0.0005506,0.0014944,0.0005224,0.0010436,0.0007829,0.0037544,0.0004993,0.0011518,0.0008885,0.0054911
8,0.0037248,0.0040737,0.0873517,0.1838603,0.1980381,0.0000712,0.0030431,0.0100455,0.0025175,0.0075432,0.0033607,0.0096671,0.0022140,0.0028734,0.0032893,0.0095668,0.0007932,0.0017322,0.0039636,0.0088701,0.0040735,0.0014677,0.0569354,0.0094572,0.0052320,0.0021185,0.1242590,0.0026284,0.0013140,0.0098174,0.0101475,0.0025758,0.0160766,0.0054716,0.0031020,0.0139926,0.0090127,0.0033406,0.0431624,0.0026456,0.0040354,0.0033718,0.0025422,0.0023716,0.0051917,0.0135080,0.0110240,0.0760613,0.0028047,0.0056592
9,0.0007579,0.0005144,0.0005270,0.0003097,0.0008738,0.0085680,0.0015301,0.0003292,0.0004559,0.0013237,0.0012178,0.0008438,0.0006902,0.0014092,0.0008874,0.0006175,0.0001648,0.0004276,0.0015985,0.0004567,0.0006386,0.0010310,0.0077685,0.0017613,0.0003217,0.0007214,0.0019355,0.0003907,0.0022764,0.0004690,0.0010009,0.0049855,0.0003909,0.0006076,0.0012982,0.0003598,0.0015099,0.0018432,0.0012424,0.0078036,0.0009648,0.0006728,0.0057381,0.0007069,0.0021027,0.0003282,0.0008197,0.9243455,0.0004612,0.0020008
10,0.0006629,0.0015408,0.0007792,0.0012889,0.0015699,0.0016986,0.0057177,0.0037562,0.0030995,0.0015962,0.0010066,0.0011005,0.0084056,0.0017132,0.0042855,0.0022925,0.0363931,0.0007346,0.0567700,0.0016462,0.0004035,0.0020036,0.0007157,0.0011358,0.0004945,0.0006341,0.0010756,0.0124855,0.0007522,0.0037394,0.0006986,0.0018328,0.0021071,0.0009393,0.0016882,0.0013761,0.0007986,0.0011382,0.0004577,0.4843329,0.0038604,0.0001578,0.0075650,0.0219605,0.0013324,0.0023005,0.0005078,0.0019461,0.3032365,0.0022657
